Name,Code,FinalScore,Score_1d,Score_2d,Score_3d,rsi30,momentum_pos,macd_cross,ema5_over_ema20,ema20_over_ema60,rs_plus,p1_full,frg_own_1m_up,frg_3_pos,frg_5_pos,ins_3_pos,ins_5_pos
HD현대,267250,11,4,8,8,4,0,0,0,0,0,0,0,0,0,0,0
세아제강지주,003030,11,4,8,8,4,0,0,0,0,0,0,0,0,0,0,0
지역난방공사,071320,11,4,8,8,4,0,0,0,0,0,0,0,0,0,0,0
SK케미칼,285130,11,4,4,16,4,0,0,0,0,0,0,0,0,0,0,0
HD한국조선해양,009540,10,0,10,14,0,0,0,0,0,0,0,0,0,0,0,0
HD현대중공업,329180,10,0,10,14,0,0,0,0,0,0,0,0,0,0,0,0
BGF리테일,282330,9,4,4,8,4,0,0,0,0,0,0,0,0,0,0,0
한올바이오파마,009420,9,4,4,8,4,0,0,0,0,0,0,0,0,0,0,0
DL,000210,8,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0
제일기획,030000,8,0,6,16,0,0,0,0,0,0,0,0,0,0,0,0
한전KPS,051600,8,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0
셀트리온,068270,7,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0
삼성바이오로직스,207940,7,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0
SKC,011790,7,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0
LG생활건강,051900,7,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0
롯데지주,004990,7,4,4,4,0,0,0,0,0,0,0,0,0,0,4,0
두산,000150,7,0,4,16,0,0,0,0,0,0,0,0,0,0,0,0
LS ELECTRIC,010120,6,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0
삼성물산,028260,6,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0
종근당,185750,6,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0
현대백화점,069960,5,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0
롯데웰푸드,280360,5,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0
LG디스플레이,034220,5,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0
LG화학,051910,4,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0
오뚜기,007310,4,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
KT&G,033780,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
동원산업,006040,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
에이피알,278470,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
한국전력,015760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
삼성에피스홀딩스,0126Z0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
아모레퍼시픽,090430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
한국콜마,161890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CJ대한통운,000120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
